iteracion_bayesiana,E1000_c,E1002_c,E5001_c,E5002_c,E5003_c,E5005_c,E5007_c,E5008_c,E5009_c,E5010_c,E5011_c,E5012_c,E5013_c,E5014_c,E5015_c,E5016_c,E5017_c,E5018_c,E5019_c,E5020_c,E5021_c,E5022_c,E5023_c,E5024_c,E5025_c,E5026_c,E5027_c,E5028_c,E5029_c,E5030_c,E5031_c,E5032_c,E5033_c,E5034_c,E5035_c,E5037_c,E5038_c,E5040_c,E1001_a,E1002_a,E1004_a,E1005_a,E1006_a,E1007_a,E1010_a,E1011_a,E1012_a,E1013_a,E1014_a,E1015_a,E1016_a,E1017_a
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503750,,,,,,,,5241250,5180000,5767500,,,,,,,,6235000
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5636250,,,,,,,,4705000,5193750,5863750,,,,,,,,5995000
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5476250,,,,,,,,5180000,5416250,5946250,,,,,,,,4836250
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760000,,,,,,,,5211250,5155000,5497500,,,,,,,,6046250
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6090000,,,,,,,,4906250,4565000,5356250,,,,,,,,5931250
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5552500,,,,,,,,,,5337500,,,,,,,,5838750
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6477500,,,,,,,,,,5740000,,,,,,,,5813750
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5713750,,,,,,,,,,6011250,,,,,,,,6023750
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6190000,,,,,,,,,,5950000,,,,,,,,6388750
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6190000,,,,,,,,,,5937500,,,,,,,,6287500
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6123750,,,,,,,,,,5975000,,,,,,,,5991250
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6377500,,,,,,,,,,6005000,,,,,,,,6361250
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5691250,,,,,,,,,,5782500,,,,,,,,"6,00E+06"
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6142500,,,,,,,,,,5512500,,,,,,,,6388750
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5957500,,,,,,,,,,6092500,,,,,,,,5657500
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5583750,,,,,,,,,,5771250,,,,,,,,6306250
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5470000,,,,,,,,,,5652500,,,,,,,,5625000
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6353750,,,,,,,,,,5832500,,,,,,,,6437500
180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6158750,,,,,,,,,,5902500,,,,,,,,5940000
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6273750,,,,,,,,,,5818750,,,,,,,,5638750
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6288750,,,,,,,,,,5671250,,,,,,,,5825000
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6083750,,,,,,,,,,5453750,,,,,,,,6426250
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6391250,,,,,,,,,,5713750,,,,,,,,6057500
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6376250,,,,,,,,,,5732500,,,,,,,,6512500
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5027500,,,,,,,,,,5612500,,,,,,,,5805000
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6197500,,,,,,,,,,6042500,,,,,,,,5930000
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6078750,,,,,,,,,,6115000,,,,,,,,5987500
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6358750,,,,,,,,,,5995000,,,,,,,,6290000
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6521250,,,,,,,,,,6017500,,,,,,,,5766250
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5450000,,,,,,,,,,5403750,,,,,,,,5990000
192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6656250,,,,,,,,,,5420000,,,,,,,,5568750
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5431250,,,,,,,,,,5537500,,,,,,,,5761250
194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6245000,,,,,,,,,,5587500,,,,,,,,6288750
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5985000,,,,,,,,,,5446250,,,,,,,,6051250
196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6185000,,,,,,,,,,5635000,,,,,,,,6206250
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6501250,,,,,,,,,,5883750,,,,,,,,5922500
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6190000,,,,,,,,,,5783750,,,,,,,,5945000
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6027500,,,,,,,,,,5423750,,,,,,,,5103750
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5806250,,,,,,,,,,5786250,,,,,,,,6148750
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6048750,,,,,,,,,,6150000,,,,,,,,6420000
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5578750,,,,,,,,,,5687500,,,,,,,,5105000
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6155000,,,,,,,,,,5883750,,,,,,,,6212500
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5168750,,,,,,,,,,5905000,,,,,,,,6203750
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6343750,,,,,,,,,,6032500,,,,,,,,6058750
206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6263750,,,,,,,,,,5692500,,,,,,,,5910000
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6145000,,,,,,,,,,5656250,,,,,,,,6056250
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6737500,,,,,,,,,,5481250,,,,,,,,5621250
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6292500,,,,,,,,,,5652500,,,,,,,,6072500
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5815000,,,,,,,,,,5983750,,,,,,,,6190000
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6196250,,,,,,,,,,5982500,,,,,,,,6116250
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5906250,,,,,,,,,,5456250,,,,,,,,6085000
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5558750,,,,,,,,,,6186250,,,,,,,,6140000
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5950000,,,,,,,,,,5926250,,,,,,,,5371250
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6010000,,,,,,,,,,6083750,,,,,,,,5842500
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6058750,,,,,,,,,,5752500,,,,,,,,5980000
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6321250
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5890000
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6025000
220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5712500
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6450000
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5857500
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6048750
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6038750
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6082500
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6396250
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5910000
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6168750
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5765000
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5621250
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6212500
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5417500
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5695000
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6203750
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6576250
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5595000
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6416250
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5401250
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6538750
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5838750
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5908750
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4876250
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6242500
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5366250
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5963750
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5420000
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6067500
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6273750
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5723750
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6003750
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6406250
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6292500
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6183750
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5763750
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5746250
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5826250
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747500
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6257500
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5908750
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6326250
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6245000
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5846250
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5540000
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6121250
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6020000
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6060000
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5653750
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5648750
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5608750
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5378750
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6118750
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5963750
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5410000
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5993750
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6176250
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6100000
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5165000
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6081250
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5823750
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5973750
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5908750
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5920000
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6078750
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5823750
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5855000
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6406250
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6137500
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5680000
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5777500
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6002500
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5858750
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5513750
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5031250
294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5741250
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5613750
296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5961250
297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5457500